thinkBack: Stock quote and option quote for SPX on 7/23/16 23:59:59,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
UNDERLYING,,,,,,,,,,,,,,,,,,,,,,,,,
Last,Net Chng,Volume,Open,High,Low,,,,,,,,,,,,,,,,,,,,
2175.03,9.86,0,2166.47,2175.11,2163.24,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
22 JUL 16  (-1)  100 (Weeklys),,,,,,,,,,,,,,,,,,,,,,,,,
,,Impl Vol,Prob.OTM,Delta,Gamma,Theta,Vega,Volume,Open.Int,Bid,Ask,Exp,Strike,Bid,Ask,Impl Vol,Prob.OTM,Delta,Gamma,Theta,Vega,Volume,Open.Int,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,0,341.30,364.80,3 AUG 16,1820,0.05,0.10,34.14%,99.77%,0.00,0.00,-0.03,0.02,0,15,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,0,336.20,360.00,3 AUG 16,1825,0.05,0.10,33.66%,99.77%,0.00,0.00,-0.03,0.02,0,8,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,0,331.30,354.80,3 AUG 16,1830,0.05,0.10,33.17%,99.77%,0.00,0.00,-0.03,0.02,0,2,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,0,326.30,349.80,3 AUG 16,1835,0.05,0.15,33.60%,99.70%,0.00,0.00,-0.04,0.03,0,0,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,0,321.20,345.00,3 AUG 16,1840,0.05,0.15,33.10%,99.70%,0.00,0.00,-0.04,0.03,10,4,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,0,316.20,340.00,3 AUG 16,1845,0.05,0.15,32.61%,99.69%,0.00,0.00,-0.04,0.03,0,0,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,0,311.30,335.00,3 AUG 16,1850,0.05,0.15,32.12%,99.69%,0.00,0.00,-0.04,0.03,0,290,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,0,306.40,330.00,3 AUG 16,1855,0.05,0.15,31.63%,99.68%,0.00,0.00,-0.04,0.03,0,"1,500",,
,,--,0.00%,1.00,0.00,0.00,0.00,0,0,301.40,325.00,3 AUG 16,1860,0.05,0.15,31.15%,99.68%,0.00,0.00,-0.04,0.03,0,0,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,0,296.40,319.90,3 AUG 16,1865,0.05,0.15,30.65%,99.68%,0.00,0.00,-0.04,0.03,0,0,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,0,291.40,314.90,3 AUG 16,1870,0.05,0.15,30.16%,99.67%,0.00,0.00,-0.04,0.03,0,1,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,0,286.40,309.90,3 AUG 16,1875,0.05,0.15,29.68%,99.67%,0.00,0.00,-0.04,0.03,25,65,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,0,281.40,304.90,3 AUG 16,1880,0.10,0.15,29.86%,99.60%,0.00,0.00,-0.04,0.04,0,336,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,0,276.40,299.90,3 AUG 16,1885,0.10,0.20,29.93%,99.53%,0.00,0.00,-0.05,0.05,0,0,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,0,271.40,294.90,3 AUG 16,1890,0.10,0.20,29.43%,99.52%,0.00,0.00,-0.05,0.05,0,37,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,0,266.30,290.00,3 AUG 16,1895,0.10,0.20,28.92%,99.51%,0.00,0.00,-0.05,0.05,0,32,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,0,261.40,284.90,3 AUG 16,1900,0.10,0.20,28.42%,99.51%,0.00,0.00,-0.05,0.05,4,53,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,0,256.40,280.00,3 AUG 16,1905,0.10,0.20,27.92%,99.50%,0.00,0.00,-0.05,0.05,0,15,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,0,251.40,275.00,3 AUG 16,1910,0.10,0.20,27.43%,99.49%,0.00,0.00,-0.05,0.05,0,20,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,0,246.40,270.00,3 AUG 16,1915,0.10,0.25,27.39%,99.42%,-0.01,0.00,-0.06,0.06,0,9,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,0,241.50,265.00,3 AUG 16,1920,0.10,0.25,26.87%,99.41%,-0.01,0.00,-0.06,0.06,0,5,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,0,236.50,260.00,3 AUG 16,1925,0.15,0.25,26.77%,99.33%,-0.01,0.00,-0.07,0.07,0,19,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,0,231.50,255.00,3 AUG 16,1930,0.15,0.25,26.26%,99.32%,-0.01,0.00,-0.07,0.07,0,11,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,0,226.50,250.00,3 AUG 16,1935,0.15,0.25,25.75%,99.31%,-0.01,0.00,-0.07,0.07,0,23,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,0,221.50,245.00,3 AUG 16,1940,0.15,0.25,25.24%,99.30%,-0.01,0.00,-0.07,0.07,0,39,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,0,216.50,240.00,3 AUG 16,1945,0.15,0.30,25.07%,99.22%,-0.01,0.00,-0.07,0.08,0,38,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,0,211.50,235.00,3 AUG 16,1950,0.15,0.30,24.55%,99.21%,-0.01,0.00,-0.07,0.08,0,39,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,0,206.50,230.00,3 AUG 16,1955,0.20,0.30,24.35%,99.12%,-0.01,0.00,-0.08,0.09,0,88,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,0,201.50,225.00,3 AUG 16,1960,0.20,0.30,23.82%,99.11%,-0.01,0.00,-0.08,0.09,0,9,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,0,200.20,215.60,3 AUG 16,1965,0.20,0.30,23.30%,99.09%,-0.01,0.00,-0.08,0.09,0,16,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,0,195.60,211.00,3 AUG 16,1970,0.20,0.35,23.06%,99.00%,-0.01,0.00,-0.08,0.10,0,51,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,0,190.50,206.00,3 AUG 16,1975,0.25,0.35,22.78%,98.91%,-0.01,0.00,-0.09,0.10,0,11,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,0,185.60,201.00,3 AUG 16,1980,0.25,0.35,22.25%,98.89%,-0.01,0.00,-0.09,0.11,0,371,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,0,180.60,196.00,3 AUG 16,1985,0.25,0.40,21.95%,98.79%,-0.01,0.00,-0.10,0.11,0,18,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,0,175.60,191.00,3 AUG 16,1990,0.30,0.40,21.63%,98.70%,-0.01,0.00,-0.10,0.12,0,46,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,0,170.60,186.00,3 AUG 16,1995,0.30,0.40,21.09%,98.67%,-0.01,0.00,-0.10,0.12,0,19,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,2,165.60,181.30,3 AUG 16,2000,0.30,0.45,20.74%,98.57%,-0.01,0.00,-0.11,0.13,1,414,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,0,160.70,176.30,3 AUG 16,2005,0.35,0.45,20.38%,98.46%,-0.01,0.00,-0.11,0.14,0,24,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,4,155.70,171.30,3 AUG 16,2010,0.35,0.50,20.01%,98.35%,-0.02,0.00,-0.12,0.15,0,16,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,4,150.70,166.30,3 AUG 16,2015,0.40,0.50,19.62%,98.24%,-0.02,0.00,-0.12,0.16,0,42,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,0,145.70,161.40,3 AUG 16,2020,0.40,0.55,19.21%,98.12%,-0.02,0.00,-0.13,0.17,0,22,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,0,140.80,156.40,3 AUG 16,2025,0.45,0.55,18.80%,98.00%,-0.02,0.00,-0.13,0.18,0,776,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,5,135.70,151.40,3 AUG 16,2030,0.50,0.60,18.50%,97.80%,-0.02,0.00,-0.14,0.20,0,67,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,0,130.80,146.50,3 AUG 16,2035,0.50,0.65,18.06%,97.67%,-0.02,0.00,-0.15,0.21,0,52,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,0,125.80,141.50,3 AUG 16,2040,0.55,0.70,17.72%,97.45%,-0.02,0.00,-0.16,0.22,9,174,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,5,120.90,136.50,3 AUG 16,2045,0.60,0.75,17.35%,97.23%,-0.03,0.00,-0.16,0.24,10,50,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,45,116.00,131.50,3 AUG 16,2050,0.65,0.75,16.87%,97.07%,-0.03,0.00,-0.17,0.25,12,"2,137",,
,,--,0.00%,1.00,0.00,0.00,0.00,0,6,111.00,126.50,3 AUG 16,2055,0.70,0.85,16.56%,96.76%,-0.03,0.00,-0.18,0.27,5,182,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,33,106.10,121.50,3 AUG 16,2060,0.75,0.90,16.14%,96.50%,-0.03,0.00,-0.19,0.29,155,"2,680",,
,,--,0.00%,1.00,0.00,0.00,0.00,0,1,101.20,116.80,3 AUG 16,2065,0.80,0.95,15.70%,96.24%,-0.04,0.00,-0.20,0.31,20,51,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,11,99.20,108.80,3 AUG 16,2070,0.90,1.05,15.39%,95.80%,-0.04,0.00,-0.21,0.34,83,94,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,242,94.30,103.90,3 AUG 16,2075,1.00,1.15,15.04%,95.35%,-0.04,0.00,-0.23,0.37,24,326,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,233,89.40,99.00,3 AUG 16,2080,1.10,1.25,14.67%,94.88%,-0.05,0.00,-0.24,0.40,22,115,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,19,84.50,94.00,3 AUG 16,2085,1.20,1.35,14.26%,94.39%,-0.05,0.00,-0.25,0.43,1,87,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,68,79.70,89.30,3 AUG 16,2090,1.30,1.50,13.88%,93.79%,-0.06,0.00,-0.27,0.47,42,65,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,22,77.90,80.10,3 AUG 16,2095,1.45,1.65,13.51%,93.09%,-0.07,0.00,-0.29,0.51,13,120,,
,,--,0.00%,1.00,0.00,0.00,0.00,5,"1,709",73.10,75.30,3 AUG 16,2100,1.60,1.80,13.10%,92.34%,-0.07,0.00,-0.30,0.55,38,"2,472",,
,,--,0.00%,1.00,0.00,0.00,0.00,0,23,68.30,70.50,3 AUG 16,2105,1.80,2.00,12.74%,91.41%,-0.08,0.00,-0.32,0.60,122,122,,
,,--,0.00%,1.00,0.00,0.00,0.00,3,60,63.60,65.70,3 AUG 16,2110,2.05,2.25,12.41%,90.29%,-0.09,0.00,-0.35,0.66,84,76,,
,,--,0.00%,1.00,0.00,0.00,0.00,14,52,58.90,61.00,3 AUG 16,2115,2.30,2.55,12.06%,89.03%,-0.11,0.00,-0.37,0.72,42,244,,
,,9.82%,8.38%,0.95,0.00,-0.10,0.39,34,327,54.30,56.40,3 AUG 16,2120,2.60,2.90,11.72%,87.57%,-0.12,0.00,-0.40,0.79,6,199,,
,,9.88%,10.74%,0.92,0.01,-0.15,0.55,37,53,49.70,51.70,3 AUG 16,2125,3.00,3.30,11.40%,85.83%,-0.14,0.00,-0.43,0.87,52,163,,
,,9.92%,13.47%,0.89,0.01,-0.21,0.72,24,885,45.20,47.20,3 AUG 16,2130,3.40,3.80,11.06%,83.86%,-0.16,0.01,-0.46,0.95,51,"1,110",,
,,9.82%,16.25%,0.86,0.01,-0.26,0.86,1,94,40.80,42.70,3 AUG 16,2135,4.00,4.40,10.79%,81.44%,-0.18,0.01,-0.49,1.04,"1,716",97,,
,,9.72%,19.44%,0.83,0.01,-0.31,1.00,31,115,36.50,38.40,3 AUG 16,2140,4.60,4.80,10.34%,79.08%,-0.20,0.01,-0.51,1.12,113,190,,
,,9.60%,23.00%,0.79,0.01,-0.36,1.13,20,82,32.40,34.20,3 AUG 16,2145,5.40,5.90,10.18%,75.65%,-0.24,0.01,-0.56,1.22,36,565,,
,,9.41%,26.85%,0.75,0.01,-0.40,1.25,4,177,28.40,30.10,3 AUG 16,2150,6.30,6.80,9.87%,72.17%,-0.27,0.01,-0.59,1.31,783,680,,
,,9.19%,31.09%,0.70,0.01,-0.43,1.35,4,76,24.50,26.20,3 AUG 16,2155,7.30,7.90,9.54%,68.24%,-0.31,0.01,-0.61,1.39,19,50,,
,,8.96%,35.80%,0.66,0.01,-0.46,1.44,22,217,20.90,22.40,3 AUG 16,2160,8.60,9.20,9.26%,63.72%,-0.36,0.01,-0.63,1.47,"1,082",115,,
,,8.67%,40.94%,0.60,0.01,-0.47,1.51,20,148,17.70,18.50,3 AUG 16,2165,10.10,10.80,9.01%,58.70%,-0.41,0.01,-0.65,1.53,19,76,,
,,8.40%,46.60%,0.54,0.01,-0.48,1.56,213,242,14.50,15.20,3 AUG 16,2170,11.80,12.60,8.72%,53.26%,-0.46,0.01,-0.65,1.56,262,167,,
,,8.17%,52.68%,0.48,0.01,-0.47,1.57,132,"1,166",11.60,12.30,3 AUG 16,2175,13.90,14.70,8.47%,47.40%,-0.52,0.01,-0.65,1.57,22,537,,
,,7.93%,59.04%,0.42,0.01,-0.45,1.54,77,357,9.00,9.70,3 AUG 16,2180,16.20,17.20,8.23%,41.26%,-0.58,0.01,-0.63,1.54,12,12,,
,,7.76%,65.39%,0.35,0.01,-0.43,1.46,146,321,6.90,7.50,3 AUG 16,2185,18.90,20.60,8.20%,35.37%,-0.64,0.01,-0.62,1.47,0,10,,
,,7.57%,71.64%,0.29,0.01,-0.39,1.35,96,388,5.10,5.60,3 AUG 16,2190,22.00,23.90,8.08%,29.57%,-0.70,0.01,-0.58,1.37,0,0,,
,,7.48%,77.26%,0.23,0.01,-0.34,1.21,58,207,3.70,4.20,3 AUG 16,2195,25.50,27.50,8.00%,24.21%,-0.75,0.01,-0.54,1.25,0,1,,
,,7.42%,82.17%,0.18,0.01,-0.30,1.05,610,"5,187",2.75,3.00,3 AUG 16,2200,29.40,31.50,8.04%,19.70%,-0.80,0.01,-0.50,1.11,21,0,,
,,7.41%,86.27%,0.14,0.01,-0.25,0.89,181,319,1.95,2.20,3 AUG 16,2205,33.50,35.70,8.07%,15.78%,-0.84,0.01,-0.46,0.97,0,0,,
,,7.51%,89.33%,0.11,0.01,-0.21,0.74,177,304,1.45,1.65,3 AUG 16,2210,34.30,42.30,7.29%,10.00%,-0.90,0.01,-0.36,0.71,0,1,,
,,7.62%,91.79%,0.08,0.01,-0.18,0.62,81,197,1.05,1.25,3 AUG 16,2215,39.00,47.00,7.52%,7.94%,-0.92,0.01,-0.33,0.60,0,0,,
,,7.78%,93.61%,0.07,0.00,-0.15,0.51,80,163,0.80,0.95,3 AUG 16,2220,43.70,51.70,7.61%,5.98%,-0.94,0.00,-0.30,0.49,0,0,,
,,7.96%,95.00%,0.05,0.00,-0.13,0.42,84,"2,411",0.60,0.75,3 AUG 16,2225,48.60,56.60,8.00%,5.10%,-0.95,0.00,-0.29,0.43,0,0,,
,,8.29%,95.80%,0.04,0.00,-0.11,0.37,41,470,0.50,0.65,3 AUG 16,2230,52.70,62.10,8.06%,3.78%,-0.96,0.00,-0.26,0.34,0,0,,
,,8.56%,96.55%,0.04,0.00,-0.10,0.32,0,43,0.40,0.55,3 AUG 16,2235,57.50,67.10,8.29%,3.03%,-0.97,0.00,-0.25,0.28,0,0,,
,,8.94%,96.99%,0.03,0.00,-0.09,0.28,0,216,0.35,0.50,3 AUG 16,2240,62.50,72.00,8.65%,2.60%,-0.97,0.00,-0.24,0.25,0,0,,
,,9.29%,97.40%,0.03,0.00,-0.09,0.25,18,27,0.30,0.45,3 AUG 16,2245,67.50,76.90,8.96%,2.20%,-0.98,0.00,-0.23,0.22,0,0,,
,,9.70%,97.65%,0.02,0.00,-0.08,0.23,207,47,0.30,0.40,3 AUG 16,2250,72.50,82.00,9.71%,2.36%,-0.97,0.00,-0.24,0.23,0,0,,
,,10.10%,97.88%,0.02,0.00,-0.08,0.21,0,30,0.25,0.40,3 AUG 16,2255,77.50,86.90,10.00%,2.01%,-0.98,0.00,-0.23,0.20,0,0,,
,,10.48%,98.10%,0.02,0.00,-0.07,0.19,0,23,0.25,0.35,3 AUG 16,2260,82.50,91.90,10.51%,1.93%,-0.98,0.00,-0.24,0.20,0,0,,
,,10.84%,98.29%,0.02,0.00,-0.07,0.18,0,0,0.20,0.35,3 AUG 16,2265,87.40,96.80,10.41%,1.37%,-0.98,0.00,-0.22,0.15,0,0,,
,,11.17%,98.48%,0.02,0.00,-0.07,0.16,0,0,0.20,0.30,3 AUG 16,2270,92.20,101.90,10.50%,1.07%,-0.99,0.00,-0.20,0.12,0,0,,
,,11.65%,98.54%,0.02,0.00,-0.07,0.16,1,"1,889",0.20,0.30,3 AUG 16,2275,97.20,106.80,10.47%,0.77%,-0.99,0.00,-0.19,0.09,0,0,,
,,13.12%,99.18%,0.01,0.00,-0.05,0.10,6,29,0.10,0.20,3 AUG 16,2300,119.10,134.60,0.06%,0.00%,-1.00,0.00,0.00,19.12,0,0,,
,,14.59%,99.49%,0.01,0.00,-0.03,0.06,162,103,0.05,0.15,3 AUG 16,2325,144.10,159.80,14.16%,0.41%,-0.99,0.00,-0.18,0.05,0,0,,
,,15.48%,99.75%,0.00,0.00,-0.02,0.03,229,0,0,0.10,3 AUG 16,2350,169.00,184.50,0.05%,0.00%,-1.00,0.00,0.00,18.96,0,0,,
,,17.35%,99.77%,0.00,0.00,-0.02,0.03,20,25,0,0.10,3 AUG 16,2375,194.00,209.60,0.05%,0.00%,-1.00,0.00,0.00,18.87,0,0,,
,,18.04%,99.89%,0.00,0.00,-0.01,0.02,0,10,0,0.05,3 AUG 16,2400,215.20,238.60,19.22%,0.21%,-1.00,0.00,-0.18,0.03,0,0,,
,,21.47%,99.90%,0.00,0.00,-0.01,0.01,1,0,0,0.05,3 AUG 16,2450,265.00,288.60,0.05%,0.00%,-1.00,0.00,0.00,18.63,0,0,,
,,24.72%,99.92%,0.00,0.00,-0.01,0.01,1,0,0,0.05,3 AUG 16,2500,315.00,338.60,0.06%,0.00%,-1.00,0.00,0.00,18.46,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,
5 AUG 16  (13)  100 (Weeklys),,,,,,,,,,,,,,,,,,,,,,,,,
,,Impl Vol,Prob.OTM,Delta,Gamma,Theta,Vega,Volume,Open.Int,Bid,Ask,Exp,Strike,Bid,Ask,Impl Vol,Prob.OTM,Delta,Gamma,Theta,Vega,Volume,Open.Int,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,0,1660.40,1683.90,5 AUG 16,500,0,0.05,214.59%,99.95%,0.00,0.00,-0.01,0.00,0,65,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,0,1560.40,1583.90,5 AUG 16,600,0,0.05,188.51%,99.95%,0.00,0.00,-0.01,0.00,0,60,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,0,1460.50,1483.90,5 AUG 16,700,0,0.10,174.71%,99.92%,0.00,0.00,-0.02,0.00,0,278,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,0,1360.40,1384.00,5 AUG 16,800,0,0.05,147.28%,99.96%,0.00,0.00,-0.01,0.00,0,756,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,0,1260.50,1284.00,5 AUG 16,900,0,0.05,130.60%,99.95%,0.00,0.00,-0.01,0.00,0,981,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,0,1160.60,1184.00,5 AUG 16,1000,0,0.05,115.52%,99.95%,0.00,0.00,-0.01,0.00,0,565,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,1,1060.60,1084.00,5 AUG 16,1100,0,0.05,101.85%,99.95%,0.00,0.00,-0.01,0.00,0,672,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,19,960.60,984.00,5 AUG 16,1200,0,0.05,89.44%,99.95%,0.00,0.00,-0.01,0.00,0,"1,268",,
,,--,0.00%,1.00,0.00,0.00,0.00,0,0,935.60,959.00,5 AUG 16,1225,0,0.05,86.48%,99.95%,0.00,0.00,-0.01,0.00,0,406,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,0,910.50,934.00,5 AUG 16,1250,0,0.05,83.60%,99.95%,0.00,0.00,-0.01,0.00,0,279,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,0,885.60,909.00,5 AUG 16,1275,0,0.05,80.72%,99.95%,0.00,0.00,-0.01,0.00,0,"1,441",,
,,--,0.00%,1.00,0.00,0.00,0.00,0,11,860.60,884.00,5 AUG 16,1300,0,0.05,77.93%,99.95%,0.00,0.00,-0.01,0.00,0,"4,901",,
,,--,0.00%,1.00,0.00,0.00,0.00,0,10,835.70,859.00,5 AUG 16,1325,0,0.05,75.27%,99.95%,0.00,0.00,-0.01,0.00,0,222,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,0,810.60,834.00,5 AUG 16,1350,0,0.05,72.49%,99.95%,0.00,0.00,-0.01,0.00,0,"1,534",,
,,--,0.00%,1.00,0.00,0.00,0.00,0,0,785.70,809.00,5 AUG 16,1375,0,0.05,69.84%,99.95%,0.00,0.00,-0.01,0.01,0,"4,195",,
,,--,0.00%,1.00,0.00,0.00,0.00,0,2,760.70,784.00,5 AUG 16,1400,0,0.05,67.24%,99.95%,0.00,0.00,-0.01,0.01,0,"9,651",,
,,--,0.00%,1.00,0.00,0.00,0.00,0,0,735.70,759.00,5 AUG 16,1425,0,0.10,68.16%,99.90%,0.00,0.00,-0.02,0.01,0,"1,307",,
,,--,0.00%,1.00,0.00,0.00,0.00,0,29,710.70,734.00,5 AUG 16,1450,0,0.05,62.23%,99.94%,0.00,0.00,-0.01,0.01,0,"2,900",,
,,--,0.00%,1.00,0.00,0.00,0.00,0,1,685.70,709.00,5 AUG 16,1475,0,0.05,59.65%,99.94%,0.00,0.00,-0.01,0.01,0,"4,867",,
,,--,0.00%,1.00,0.00,0.00,0.00,0,23,660.70,684.00,5 AUG 16,1500,0,0.05,57.32%,99.94%,0.00,0.00,-0.01,0.01,0,"3,283",,
,,--,0.00%,1.00,0.00,0.00,0.00,0,1,635.70,659.00,5 AUG 16,1525,0,0.10,57.88%,99.89%,0.00,0.00,-0.02,0.01,0,"4,772",,
,,--,0.00%,1.00,0.00,0.00,0.00,0,28,610.60,634.50,5 AUG 16,1550,0,0.05,52.54%,99.94%,0.00,0.00,-0.01,0.01,0,"5,711",,
,,--,0.00%,1.00,0.00,0.00,0.00,0,0,585.60,609.20,5 AUG 16,1575,0,0.05,50.13%,99.94%,0.00,0.00,-0.01,0.01,0,"4,060",,
,,--,0.00%,1.00,0.00,0.00,0.00,0,38,560.70,584.20,5 AUG 16,1600,0,0.05,47.88%,99.94%,0.00,0.00,-0.01,0.01,1,"2,804",,
,,--,0.00%,1.00,0.00,0.00,0.00,0,0,550.70,574.20,5 AUG 16,1610,0,0.10,49.54%,99.88%,0.00,0.00,-0.02,0.01,0,"1,216",,
,,--,0.00%,1.00,0.00,0.00,0.00,0,0,540.70,564.30,5 AUG 16,1620,0,0.10,48.59%,99.88%,0.00,0.00,-0.02,0.01,0,175,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,1,535.70,559.30,5 AUG 16,1625,0,0.05,45.62%,99.93%,0.00,0.00,-0.01,0.01,0,"1,300",,
,,--,0.00%,1.00,0.00,0.00,0.00,0,0,530.70,554.20,5 AUG 16,1630,0,0.05,45.11%,99.93%,0.00,0.00,-0.01,0.01,"1,525","1,189",,
,,--,0.00%,1.00,0.00,0.00,0.00,0,0,520.60,544.50,5 AUG 16,1640,0,0.05,44.21%,99.93%,0.00,0.00,-0.01,0.01,0,187,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,1,510.80,534.20,5 AUG 16,1650,0,0.10,45.76%,99.88%,0.00,0.00,-0.02,0.01,3,429,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,0,500.80,524.20,5 AUG 16,1660,0,0.10,44.82%,99.88%,0.00,0.00,-0.02,0.01,"2,562",199,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,0,490.80,514.20,5 AUG 16,1670,0.05,0.10,45.47%,99.82%,0.00,0.00,-0.03,0.02,0,264,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,10,485.80,509.20,5 AUG 16,1675,0.05,0.10,44.99%,99.82%,0.00,0.00,-0.03,0.02,0,140,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,0,480.80,504.20,5 AUG 16,1680,0.05,0.10,44.49%,99.82%,0.00,0.00,-0.03,0.02,0,217,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,0,470.80,494.30,5 AUG 16,1690,0,0.10,42.06%,99.87%,0.00,0.00,-0.02,0.01,0,229,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,31,460.80,484.30,5 AUG 16,1700,0,0.10,41.15%,99.87%,0.00,0.00,-0.02,0.01,0,"3,552",,
,,--,0.00%,1.00,0.00,0.00,0.00,0,0,450.80,474.30,5 AUG 16,1710,0,0.10,40.25%,99.86%,0.00,0.00,-0.02,0.02,0,"3,385",,
,,--,0.00%,1.00,0.00,0.00,0.00,0,0,440.80,464.30,5 AUG 16,1720,0,0.10,39.32%,99.86%,0.00,0.00,-0.02,0.02,0,262,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,37,435.60,459.50,5 AUG 16,1725,0,0.10,38.86%,99.86%,0.00,0.00,-0.02,0.02,"2,459","7,056",,
,,--,0.00%,1.00,0.00,0.00,0.00,0,0,430.80,454.30,5 AUG 16,1730,0,0.10,38.42%,99.86%,0.00,0.00,-0.02,0.02,0,335,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,0,420.70,444.50,5 AUG 16,1740,0.05,0.10,38.88%,99.80%,0.00,0.00,-0.03,0.02,"2,700","3,489",,
,,--,0.00%,1.00,0.00,0.00,0.00,0,2,415.80,439.30,5 AUG 16,1745,0.05,0.15,39.44%,99.74%,0.00,0.00,-0.03,0.03,0,228,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,2,410.80,434.30,5 AUG 16,1750,0.05,0.10,37.94%,99.80%,0.00,0.00,-0.03,0.02,61,"2,767",,
,,--,0.00%,1.00,0.00,0.00,0.00,0,2,405.70,429.50,5 AUG 16,1755,0.05,0.15,38.51%,99.74%,0.00,0.00,-0.03,0.03,0,106,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,0,400.80,424.30,5 AUG 16,1760,0.05,0.10,37.02%,99.79%,0.00,0.00,-0.03,0.02,0,"5,154",,
,,--,0.00%,1.00,0.00,0.00,0.00,0,0,395.70,419.50,5 AUG 16,1765,0.05,0.15,37.57%,99.74%,0.00,0.00,-0.03,0.03,0,254,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,0,390.80,414.30,5 AUG 16,1770,0.05,0.15,37.08%,99.73%,0.00,0.00,-0.03,0.03,0,295,,
,,--,0.00%,1.00,0.00,0.00,0.00,0,1,385.80,409.30,5 AUG 16,1775,0.05,0.15,36.62%,99.73%,0.00,0.00,-0.03,0.03,500,"2,666",,
