thinkBack: Stock quote and option quote for SPX on 7/23/16 23:59:59,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
UNDERLYING,,,,,,,,,,,,,,,,,,,,,,,,,
Last,Net Chng,Volume,Open,High,Low,,,,,,,,,,,,,,,,,,,,
2175.03,9.86,0,2166.47,2175.11,2163.24,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
22 JUL 16  (-1)  100 (Weeklys),,,,,,,,,,,,,,,,,,,,,,,,,
,,Impl Vol,Prob.OTM,Delta,Gamma,Theta,Vega,Volume,Open.Int,Bid,Ask,Exp,Strike,Bid,Ask,Impl Vol,Prob.OTM,Delta,Gamma,Theta,Vega,Volume,Open.Int,,
,,--,0.00%,1.00,0.00,-0.05,0.00,0,0,477.80,489.90,22 JUL 16,1690,0,0.05,149.48%,99.93%,0.00,0.00,-0.03,0.00,0,681,,
,,--,0.00%,1.00,0.00,-0.05,0.00,0,0,472.80,484.90,22 JUL 16,1695,0,0.05,147.91%,99.93%,0.00,0.00,-0.03,0.00,0,"1,071",,
,,--,0.00%,1.00,0.00,-0.05,0.00,0,29,467.80,479.90,22 JUL 16,1700,0,0.05,146.21%,99.93%,0.00,0.00,-0.03,0.00,0,"3,545",,
,,--,0.00%,1.00,0.00,-0.05,0.00,0,0,462.80,474.90,22 JUL 16,1705,0,0.05,144.62%,99.93%,0.00,0.00,-0.03,0.00,0,12,,
,,--,0.00%,1.00,0.00,-0.05,0.00,0,0,457.80,469.90,22 JUL 16,1710,0,0.05,142.93%,99.93%,0.00,0.00,-0.03,0.00,0,"2,243",,
,,--,0.00%,1.00,0.00,-0.05,0.00,0,0,452.80,464.90,22 JUL 16,1715,0,0.05,141.49%,99.92%,0.00,0.00,-0.03,0.00,0,"1,062",,
,,--,0.00%,1.00,0.00,-0.05,0.00,0,0,447.80,459.90,22 JUL 16,1720,0,0.05,139.72%,99.92%,0.00,0.00,-0.03,0.00,0,171,,
,,--,0.00%,1.00,0.00,-0.05,0.00,0,37,442.80,454.90,22 JUL 16,1725,0,0.05,138.09%,99.92%,0.00,0.00,-0.03,0.00,0,"9,340",,
,,--,0.00%,1.00,0.00,-0.05,0.00,0,0,437.80,449.90,22 JUL 16,1730,0,0.05,136.49%,99.92%,0.00,0.00,-0.03,0.00,0,404,,
,,--,0.00%,1.00,0.00,-0.05,0.00,0,0,432.80,444.90,22 JUL 16,1735,0,0.05,134.89%,99.92%,0.00,0.00,-0.03,0.00,0,"1,196",,
,,--,0.00%,1.00,0.00,-0.05,0.00,0,0,427.80,439.90,22 JUL 16,1740,0,0.05,133.30%,99.92%,0.00,0.00,-0.03,0.00,0,"6,198",,
,,--,0.00%,1.00,0.00,-0.05,0.00,0,1,422.80,434.90,22 JUL 16,1745,0,0.05,131.71%,99.92%,0.00,0.00,-0.03,0.00,0,"7,128",,
,,--,0.00%,1.00,0.00,-0.05,0.00,0,0,417.80,429.90,22 JUL 16,1750,0,0.05,130.13%,99.92%,0.00,0.00,-0.03,0.00,0,"2,237",,
,,--,0.00%,1.00,0.00,-0.05,0.00,0,1,412.80,424.90,22 JUL 16,1755,0,0.05,128.55%,99.92%,0.00,0.00,-0.03,0.00,0,611,,
,,--,0.00%,1.00,0.00,-0.05,0.00,0,0,407.80,419.90,22 JUL 16,1760,0,0.05,126.97%,99.92%,0.00,0.00,-0.03,0.00,0,"4,163",,
,,--,0.00%,1.00,0.00,-0.05,0.00,0,1,402.80,414.90,22 JUL 16,1765,0,0.05,125.40%,99.92%,0.00,0.00,-0.03,0.00,0,241,,
,,--,0.00%,1.00,0.00,-0.05,0.00,0,1,397.80,409.90,22 JUL 16,1770,0,0.05,123.84%,99.92%,0.00,0.00,-0.03,0.00,0,423,,
,,--,0.00%,1.00,0.00,-0.05,0.00,2,3,392.80,404.90,22 JUL 16,1775,0,0.05,122.28%,99.92%,0.00,0.00,-0.03,0.00,0,"3,940",,
,,--,0.00%,1.00,0.00,-0.05,0.00,3,3,387.80,399.90,22 JUL 16,1780,0,0.05,120.72%,99.92%,0.00,0.00,-0.03,0.00,0,158,,
,,--,0.00%,1.00,0.00,-0.05,0.00,6,5,382.80,394.90,22 JUL 16,1785,0,0.05,119.17%,99.92%,0.00,0.00,-0.03,0.00,0,161,,
,,--,0.00%,1.00,0.00,-0.05,0.00,3,3,377.80,389.90,22 JUL 16,1790,0,0.05,117.63%,99.91%,0.00,0.00,-0.03,0.00,0,130,,
,,--,0.00%,1.00,0.00,-0.05,0.00,1,1,372.80,384.90,22 JUL 16,1795,0,0.05,115.90%,99.91%,0.00,0.00,-0.03,0.00,0,76,,
,,--,0.00%,1.00,0.00,-0.05,0.00,5,7,367.80,379.90,22 JUL 16,1800,0,0.05,114.34%,99.91%,0.00,0.00,-0.03,0.00,0,"12,863",,
,,--,0.00%,1.00,0.00,-0.05,0.00,0,0,362.80,374.90,22 JUL 16,1805,0,0.05,112.79%,99.91%,0.00,0.00,-0.03,0.00,0,246,,
,,--,0.00%,1.00,0.00,-0.05,0.00,0,0,357.80,369.90,22 JUL 16,1810,0,0.05,111.23%,99.91%,0.00,0.00,-0.03,0.00,0,"3,755",,
,,--,0.00%,1.00,0.00,-0.05,0.00,0,0,352.80,364.90,22 JUL 16,1815,0,0.05,109.71%,99.91%,0.00,0.00,-0.03,0.00,0,"1,215",,
,,--,0.00%,1.00,0.00,-0.05,0.00,0,0,347.80,359.90,22 JUL 16,1820,0,0.05,108.13%,99.91%,0.00,0.00,-0.03,0.00,0,378,,
,,--,0.00%,1.00,0.00,-0.05,0.00,0,0,342.80,354.90,22 JUL 16,1825,0,0.05,106.62%,99.91%,0.00,0.00,-0.03,0.00,0,"4,787",,
,,--,0.00%,1.00,0.00,-0.05,0.00,0,0,337.80,349.90,22 JUL 16,1830,0,0.05,105.04%,99.91%,0.00,0.00,-0.03,0.00,0,417,,
,,--,0.00%,1.00,0.00,-0.05,0.00,0,0,332.80,344.90,22 JUL 16,1835,0,0.05,103.51%,99.91%,0.00,0.00,-0.03,0.00,0,474,,
,,--,0.00%,1.00,0.00,-0.05,0.00,0,0,327.80,339.90,22 JUL 16,1840,0,0.05,101.99%,99.91%,0.00,0.00,-0.03,0.00,0,521,,
,,--,0.00%,1.00,0.00,-0.05,0.00,0,0,322.80,334.90,22 JUL 16,1845,0,0.05,100.51%,99.90%,0.00,0.00,-0.03,0.00,0,502,,
,,--,0.00%,1.00,0.00,-0.05,0.00,0,1,317.80,329.90,22 JUL 16,1850,0,0.05,98.90%,99.90%,0.00,0.00,-0.03,0.00,0,"4,429",,
,,--,0.00%,1.00,0.00,-0.05,0.00,0,1,312.80,324.90,22 JUL 16,1855,0,0.05,97.40%,99.90%,0.00,0.00,-0.03,0.00,10,112,,
,,--,0.00%,1.00,0.00,-0.05,0.00,0,16,307.80,319.90,22 JUL 16,1860,0,0.05,95.85%,99.90%,0.00,0.00,-0.03,0.00,0,"1,446",,
,,--,0.00%,1.00,0.00,-0.05,0.00,0,0,302.80,314.90,22 JUL 16,1865,0,0.05,94.33%,99.90%,0.00,0.00,-0.03,0.00,0,"16,754",,
,,--,0.00%,1.00,0.00,-0.05,0.00,0,2,297.80,309.90,22 JUL 16,1870,0,0.05,92.81%,99.90%,0.00,0.00,-0.03,0.00,0,"4,363",,
,,--,0.00%,1.00,0.00,-0.05,0.00,0,5,292.80,304.90,22 JUL 16,1875,0,0.05,91.30%,99.90%,0.00,0.00,-0.03,0.00,0,"1,573",,
,,--,0.00%,1.00,0.00,-0.05,0.00,0,0,287.80,299.90,22 JUL 16,1880,0,0.05,89.81%,99.90%,0.00,0.00,-0.03,0.00,0,"3,231",,
,,--,0.00%,1.00,0.00,-0.05,0.00,0,0,282.80,294.90,22 JUL 16,1885,0,0.05,88.36%,99.89%,0.00,0.00,-0.03,0.00,0,"2,813",,
,,--,0.00%,1.00,0.00,-0.05,0.00,1,1,277.80,289.90,22 JUL 16,1890,0,0.05,86.75%,99.89%,0.00,0.00,-0.03,0.00,0,"10,577",,
,,--,0.00%,1.00,0.00,-0.05,0.00,0,0,272.80,284.90,22 JUL 16,1895,0,0.05,85.26%,99.89%,0.00,0.00,-0.03,0.00,0,399,,
,,--,0.00%,1.00,0.00,-0.05,0.00,0,104,267.80,279.90,22 JUL 16,1900,0,0.05,83.60%,99.89%,0.00,0.00,-0.02,0.00,0,"9,975",,
,,--,0.00%,1.00,0.00,-0.05,0.00,0,0,262.80,274.90,22 JUL 16,1905,0,0.05,82.23%,99.89%,0.00,0.00,-0.03,0.00,0,"2,260",,
,,--,0.00%,1.00,0.00,-0.05,0.00,58,58,257.80,269.90,22 JUL 16,1910,0,0.05,80.73%,99.89%,0.00,0.00,-0.03,0.00,0,"2,387",,
,,--,0.00%,1.00,0.00,-0.05,0.00,0,0,252.80,264.90,22 JUL 16,1915,0,0.05,79.23%,99.89%,0.00,0.00,-0.03,0.00,0,"1,998",,
,,--,0.00%,1.00,0.00,-0.05,0.00,0,3,247.80,259.90,22 JUL 16,1920,0,0.05,77.74%,99.88%,0.00,0.00,-0.03,0.00,0,"1,185",,
,,--,0.00%,1.00,0.00,-0.05,0.00,0,55,242.80,254.90,22 JUL 16,1925,0,0.05,76.26%,99.88%,0.00,0.00,-0.03,0.00,0,"8,627",,
,,--,0.00%,1.00,0.00,-0.05,0.00,0,51,237.80,249.90,22 JUL 16,1930,0,0.05,74.79%,99.88%,0.00,0.00,-0.03,0.00,0,"6,286",,
,,--,0.00%,1.00,0.00,-0.05,0.00,0,0,232.80,244.90,22 JUL 16,1935,0,0.05,73.34%,99.88%,0.00,0.00,-0.03,0.00,0,"2,322",,
